Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-fhir.314e.json	7545	-	0	0	0	0	0	0	9	113	0	0	0	0	0	0	0	0	0	0	0	141	255	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-annotation-314e.json	1442	6	0	31	3	0	1	0	0	175	0	0	0	0	0	0	0	0	0	0	0	97	1540	0	1	0	2	1	0
fsh-generated/resources/StructureDefinition-annotation-attachment.json	2341	4	0	9	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	0	80	804	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-attachment-314e.json	2519	4	0	20	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	146	890	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-attachment-inlineDataSavedAsFile.json	2335	4	0	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	90	591	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-attachment-tag.json	1852	2	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	99	542	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-quantity-314e.json	2825	4	0	26	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	0	173	755	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-quantity-quantityString.json	2826	3	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	85	514	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-quantity-valueString.json	2903	3	0	11	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	103	424	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-reference-314e.json	1485	3	0	16	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	140	528	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-reference-context.json	2652	3	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	93	411	0	0	0	2	0	0
\input\includes\custom.js	271	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\includes\head.html	33	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\fsh-generated\includes\fsh-link-references.md	657	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	1061	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\index.md	69	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\images\314e-logo.png	17042	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	10808	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	0	0	0	0	0	0
